Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7rHbpuhazP9NfDGr7GKmv5,"On The Move","On The Move","Ashley Wallbridge",2019-10-11,192000,16,killbottt,2024-04-16T09:48:26Z,"progressive house,progressive trance,trance,uplifting trance","Garuda",0.479,0.957,10,-7.22,0,0.0531,0.000247,0.896,0.161,0.189,139.95,4
58cVaRFItho4uAA9rwuOct,"Project Magneta - One Giant Leap For Mankind Mix","Project Magneta","Human Evolution",2003-01-01,568386,5,killbottt,2024-04-16T09:48:26Z,"","Be Yourself Music",0.532,0.95,11,-6.938,1,0.0332,0.000537,0.693,0.134,0.214,144.997,4
5E2liGS6Vham4HSzB3K70f,"Tidal Wave - Will Atkinson Remix","Tidal Wave (Will Atkinson Remix)","Markus Schulz,HALIENE,Will Atkinson",2021-04-23,255000,13,killbottt,2024-04-16T09:48:26Z,"edm,pop dance,progressive house,progressive trance,trance,melodic dubstep,uplifting trance","Black Hole Recordings",0.409,0.985,9,-3.006,0,0.164,0.00148,0.0557,0.328,0.199,139.944,4
64AwAe6HpIEGFjy0KoGsmH,"The Whiteroom","The Whiteroom","Andy Moor,Adam White,Whiteroom",2021-03-22,233848,37,killbottt,2024-04-16T09:48:26Z,"progressive house,progressive trance,trance,uplifting trance","Anjunabeats",0.467,0.941,1,-6.992,1,0.0359,0.00276,0.886,0.453,0.172,134.968,4
384rHgapZfULwwspUb1FwA,"While We Wait","While We Wait","Daxson",2020-11-06,177425,14,killbottt,2024-04-16T09:48:26Z,"progressive trance","Coldharbour Recordings",0.484,0.836,0,-9.319,0,0.0321,0.000775,0.894,0.407,0.0821,133.997,4
3wfJZ8CxJEgvYb27S52awQ,"Carte Blanche - Ilan Bluestone Remix","Carte Blanche (Ilan Bluestone Remix)","Veracocha,Ilan Bluestone,Ferry Corsten",2021-08-13,224224,24,killbottt,2024-04-16T09:48:26Z,"dutch trance,trance,progressive house,progressive trance,uplifting trance","Armind",0.598,0.944,10,-7.346,0,0.0674,0.000105,0.93,0.14,0.0375,132.994,4
2U2lu5JFLOVowAVWnv5Oa1,"Give Your Heart a Home","Give Your Heart a Home","Richard Durand,HALIENE",2021-12-10,205777,20,killbottt,2024-04-16T09:48:26Z,"dutch trance,progressive house,progressive trance,trance,uplifting trance,melodic dubstep","Magik Muzik",0.464,0.948,1,-5.387,1,0.0563,0.00152,0.731,0.393,0.188,135.042,4
1XwC0xhwonxU55G6e9m4N0,"Through the Dark","Through the Dark","Rene Dale",2021-12-17,229565,5,killbottt,2024-04-16T09:48:26Z,"","GO MUSIC",0.432,0.969,4,-7.316,1,0.0567,0.0000624,0.0698,0.354,0.355,138.007,4
6Nku7JNuxk9PvZmaHJUjVw,"Show Me Love","Show Me Love","Above & Beyond,Armin van Buuren",2019-03-01,211655,14,killbottt,2024-04-16T09:48:26Z,"edm,progressive house,progressive trance,trance,uplifting trance,dutch house,dutch trance,pop dance","Kontor Records",0.46,0.878,4,-5.203,0,0.0437,0.022,0.508,0.157,0.454,128.017,4
7LgGDcJAUrNwlWOVMCIigb,"Lighter Than Air","Lighter Than Air","MaRLo,Feenixpawl,Mila Josef",2019-04-26,201529,42,killbottt,2024-04-16T09:48:26Z,"australian dance,trance,pop edm,progressive electro house,sky room","Armind",0.359,0.669,0,-7.714,1,0.0402,0.321,0.00262,0.105,0.153,130.185,4
